代码,基金,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日,,,,,,手续费,,
980003,太平洋六个月滚动持有债,TPYLGYGDCYZ,2021-12-03,1.5049,1.5049,0.01,0.02,0.31,0.97,2.50,5.67,,,5.29,7.71,2020-04-26,1,5.3236,0.50%,0.05%,1,0.05%,1,
970099,东证融汇鑫享30天滚动持有中短债C,DZRHXX30TGDCYZDZC,2021-12-03,1.0016,1.0016,0.01,0.10,,,,,,,,0.10,2021-11-26,3,,,0.00%,,,,
970098,东证融汇鑫享30天滚动持有中短债A,DZRHXX30TGDCYZDZA,2021-12-03,1.0055,1.4831,0.01,0.20,,,,,,,,0.20,2021-11-26,3,,0.30%,0.03%,1,0.03%,1,
970074,东证融汇成长优选混合C,DZRHCZYXHHC,2021-12-03,1.0010,1.0010,0.96,0.69,,,,,,,,0.35,2021-11-08,1,,,0.00%,,,,
970073,东证融汇成长优选混合A,DZRHCZYXHHA,2021-12-03,1.1216,1.4797,0.95,0.69,,,,,,,,0.65,2021-11-08,1,,1.20%,0.12%,1,0.12%,1,
970071,第一创业创享纯债,DYCYCXCZ,2021-12-03,1.04,1.5574,-0.01,0.05,0.39,0.72,,,,,,0.59,2021-09-02,1,-0.07679,0.40%,0.04%,1,0.04%,1,
970069,兴证资管金麒麟消费升级混合C,XZZGJQLXFSJHHC,2021-12-03,1.0289,1.0289,1.25,0.60,3.74,4.64,,,,,,2.89,2021-08-02,1,0.78,,0.00%,,,,
970067,兴证资管金麒麟消费升级混合A,XZZGJQLXFSJHHA,2021-12-03,1.0302,1.0302,1.26,0.61,3.79,4.77,,,,,,3.02,2021-08-02,1,0.84,1.20%,0.12%,1,0.12%,1,
970066,长城证券三个月滚动持有C,CCZQSGYGDCYC,2021-12-03,1.0415,1.0415,0,0.09,0.50,,,,,,,0.88,2021-09-14,1,0.077489,,0.00%,,,,
970064,长城证券三个月滚动持有A,CCZQSGYGDCYA,2021-12-03,1.0423,1.0423,0,0.11,0.54,,,,,,,0.96,2021-09-14,1,0.106548,0.30%,0.30%,99,0.30%,99,
970057,国联金如意3个月滚动持有债C,GLJRY3GYGDCYZC,2021-12-03,1.0189,1.0189,0.01,-0.02,0.32,0.93,,,,,,1.89,2021-07-19,1,1.24,,0.00%,,,,
970056,国联金如意3个月滚动持有债A,GLJRY3GYGDCYZA,2021-12-03,1.02,1.02,0.02,-0.01,0.33,0.99,,,,,,2,2021-07-19,1,1.32,0.40%,0.04%,1,0.04%,1,
970055,信达信利六个月持有债券,XDXLLGYCYZQ,2021-12-03,0.9936,1.2727,0.01,0.05,0.22,,,,,,,0.18,2021-10-20,1,,0.80%,0.08%,1,0.08%,1,
970054,信达添利三个月持有债券,XDTLSGYCYZQ,2021-12-03,1.0017,1.2639,0.01,0.11,0.65,,,,,,,0.92,2021-09-15,1,-0.070522,0.80%,0.08%,1,0.08%,1,
970053,方正鑫悦一年持有债券C,FZXYYNCYZQC,2021-12-03,1.0186,1.0186,0.07,0.30,1.76,,,,,,,1.86,2021-09-16,1,-0.12,,0.00%,,,,
970052,方正鑫悦一年持有债券A,FZXYYNCYZQA,2021-12-03,1.0178,1.3203,0.07,0.31,1.79,,,,,,,1.78,2021-09-16,1,-0.25,0.70%,0.70%,99,0.70%,99,
970049,东海资管海鑫增利3个月定开债,DHZGHXZL3GYDKZ,2021-12-03,1.0561,1.2761,0.14,0.11,0.01,1.07,,,,,,0.22,2021-08-02,1,-0.427026,0.30%,0.03%,1,0.03%,1,
970048,东海海睿致远灵活配置混合,DHHRZYLHPZHH,2021-12-03,1.4234,1.9382,0.70,0.58,1.22,2.04,,,,,,6.25,2021-07-19,1,1.634694,1.50%,0.15%,1,0.15%,1,
