,NAME,CODE,FTYPE,BFUNDTYPE,FUNDTYPE,SHARP1,SHARP2,SHARP3,MAXRETRA1,MAXRETRA3,MAXRETRA5,MGRID,MGRNAME,HJ_JN,TOTALDAYS,DAYS
0,海富通收益增长混合,519003,混合型-灵活,002,002,1.3518,2.1126,1.9554,11.9707,13.7077,26.226,30176255,周雪军,0,3333,2370.0
1,南方利安C,001580,混合型-灵活,002,002,1.0407,1.9383,2.0021,3.0545,3.0545,3.0545,30291930,吴剑毅,1,2696,2207.0
2,易方达丰和债券,002969,债券型-混合债,003,003,1.229,1.369,1.3954,4.9667,4.9667,4.9667,30075384,张清华,6,2903,1837.0
3,广发纳斯达克100指数C,006479,QDII,007,007,1.1963,0.9863,0.9412,10.1922,28.8411,,30283311,刘杰,0,2804,1136.0
4,国泰大农业股票,001579,股票型,001,001,-0.1245,1.0034,1.4794,22.5097,22.5097,,30042300,程洲,2,4993,1633.0
5,汇添富沪深300安中指数,000368,指数型-股票,001,001,0.3998,1.3145,1.1823,11.9589,14.3411,31.4738,30057296,吴振翔,0,4319,2950.0
6,华夏鼎沛债券A,005886,债券型-混合债,003,003,0.644,1.1838,1.285,7.2589,13.2566,,30276903,柳万军,1,2895,1257.0
7,工银丰收回报灵活配置混合A,001650,混合型-灵活,002,002,0.966,1.5121,1.4374,12.8746,12.8746,12.8746,30067891,何秀红,1,3950,2230.0
8,华夏全球股票(QDII),000041,QDII,007,007,-0.3127,0.2162,--,31.3415,31.3415,31.3415,30201218,李湘杰,0,2761,2019.0
9,汇添富核心精选混合(LOF),501188,混合型-灵活,002,002,-0.2925,0.1229,--,19.4084,19.4084,,30039171,何旻,0,4911,1248.0
10,国投中证500指数量化增强A,005994,指数型-股票,001,001,1.4141,1.6225,1.4794,11.9767,17.0198,,30202050,殷瑞飞,0,2991,1221.0
11,建信鑫泽回报灵活配置混合C,004669,混合型-灵活,002,002,0.4231,1.5852,1.3316,6.2934,8.0564,,30053299,梁洪昀,2,4412,1396.0
12,兴业聚盈混合A,002494,混合型-偏债,002,002,1.1605,2.125,2.1997,2.5334,2.657,3.6364,30201644,腊博,1,2863,2066.0
13,华夏纯债债券C,000016,债券型-长债,003,003,3.2139,1.5525,2.1094,0.3407,1.7901,,30276903,柳万军,1,2895,1548.0
14,兴业收益增强债券A,001257,债券型-混合债,003,003,1.9928,1.9119,1.8885,3.4286,3.4286,5.1871,30050883,周鸣,1,4318,2381.0
15,博时央调ETF联接A,006438,指数型-股票,001,001,0.9458,0.8743,0.6176,9.7561,20.6299,,30164013,赵云阳,0,3308,1116.0
16,工银四季收益债券(LOF),164808,债券型-混合债,003,003,3.5048,2.4517,2.6959,0.9725,2.1181,2.8855,30067891,何秀红,1,3950,3950.0
17,工银核心价值混合A,481001,混合型-偏股,002,002,1.0283,1.4732,1.4032,25,25,33.8875,30038667,何肖颉,0,4075,2830.0
18,华安香港精选股票(QDII),040018,QDII,007,007,0.504,1.0423,0.8572,17.0147,25.3316,25.3316,30060264,苏圻涵,0,5511,4094.0
19,博时行业轮动混合,050018,混合型-偏股,002,002,0.7296,1.1325,1.0609,23.6912,23.6912,34.8974,30296880,陈雷,0,2654,2654.0
20,银华恒生中国企业指数,161831,QDII,007,007,-0.938,-0.5056,--,31.5795,31.5795,34.1165,30072182,乐育涛,0,3860,2796.0
21,华宝中证银行ETF联接C,006697,指数型-股票,001,001,-0.3142,0.0902,0.2753,15.1281,17.9919,,30191326,胡洁,2,3336,1103.0
22,鹏华产业精选,005812,混合型-灵活,002,002,0.0949,--,--,25.7374,25.7374,,30066292,王宗合,2,3994,1305.0
23,华安沪深300增强C,000313,指数型-股票,001,001,0.3734,1.0998,1.1434,17.7182,17.7182,,30044485,许之彦,6,5511,1440.0
24,中银研究精选灵活配置混合A,000939,混合型-灵活,002,002,0.5678,1.4981,1.6396,23.8445,23.8445,,30061323,吴印,1,3824,1499.0
25,中银新回报灵活配置混合A,000190,混合型-灵活,002,002,-0.0949,1.4607,1.5245,5.2898,5.2898,5.2898,30040278,李建,3,5218,3007.0
26,银河鑫利混合A,519652,混合型-灵活,002,002,1.1356,1.9041,1.7781,5.4307,7.2309,,30164243,卢轶乔,0,3270,1680.0
27,建信鑫利回报灵活配置混合C,004653,混合型-灵活,002,002,0.7,1.5416,1.5619,7.1002,11.3175,,30161722,叶乐天,0,3545,1424.0
28,国泰民益混合(LOF)A,160220,混合型-灵活,002,002,2.5715,2.209,1.635,2.1342,12.1048,19.6078,30301236,樊利安,1,2601,2601.0
29,广发多元新兴股票,003745,股票型,001,001,0.6518,1.215,1.4856,24.8801,24.8801,,30201494,刘格菘,0,2790,1125.0
30,鹏华金鼎灵活配置混合A,002504,混合型-灵活,002,002,1.6365,1.3067,1.1636,8.2275,16.0494,16.0494,30053793,戴钢,0,3649,2061.0
31,银河智联混合,519644,混合型-灵活,002,002,1.0967,1.7096,1.8185,17.0446,18.3832,25.9048,30164252,神玉飞,0,3270,2179.0
32,大成债券C,092002,债券型-混合债,003,003,1.7828,1.3254,1.201,3.1439,3.1439,3.1439,30040406,王立,1,5440,4578.0
33,中欧养老产业混合A,001955,混合型-偏股,002,002,1.1481,1.5494,1.6956,9.1657,18.8832,25.661,30052841,王健,2,3897,1857.0
34,华安黄金易ETF联接C,000217,商品（不含QDII）,002,002,-0.4449,0.2427,0.588,11.4177,20.7511,20.7511,30044485,许之彦,6,5511,3026.0
35,中欧潜力价值灵活配置混合A,001810,混合型-灵活,002,002,1.0205,1.2741,1.0485,8.6276,18.6282,24.9878,30040164,曹名长,9,5460,2206.0
36,工银瑞信双利债券A,485111,债券型-混合债,003,003,0.7031,1.1792,1.5479,1.4484,3.2635,3.2635,30043274,欧阳凯,9,4659,4128.0
37,景顺长城量化精选股票,000978,股票型,001,001,1.1247,1.1792,0.966,12.1872,19.6176,34.2724,30201219,黎海威,2,2958,2495.0
38,工银量化策略混合A,481017,混合型-偏股,002,002,1.0734,1.7361,1.7579,18.3262,18.3262,31.8497,30055955,游凛峰,0,4361,3509.0
39,银河君尚混合A,519613,混合型-灵活,002,002,1.9243,2.2448,1.8512,2.5793,4.9162,,30054615,罗博,0,4359,1799.0
40,广发创业板ETF联接A,003765,指数型-股票,001,001,0.9878,1.2958,1.1745,21.8516,21.8516,,30283311,刘杰,0,2804,1654.0
41,嘉合磐稳纯债A,006422,债券型-长债,003,003,4.5736,0.8478,1.4499,0.2296,4.7886,,30176648,于启明,1,3215,1108.0
42,交银丰晟收益债券A,005577,债券型-长债,003,003,9.3851,--,--,0.2525,0.8283,,30041094,于海颖,0,4025,1291.0
43,富国军工主题混合A,005609,混合型-偏股,002,002,0.9427,1.5167,1.299,26.5204,26.5204,,30075266,章旭峰,0,3639,1346.0
44,工银绝对收益混合发起A,000667,混合型-灵活,002,002,0.6611,2.0161,1.8948,3.1134,3.1134,7.4336,30055955,游凛峰,0,4361,2718.0
45,鹏华价值优势混合(LOF),160607,混合型-偏股,002,002,0.4511,1.3767,1.3938,14.5738,16.1045,34.7877,30283642,谢书英,0,2786,2369.0
46,银华-道琼斯88指数,180003,指数型-股票,001,001,0.8307,1.1869,1.1434,23.643,23.643,,30279403,周晶,1,2920,1118.0
47,信达澳银领先增长混合,610001,混合型-偏股,002,002,0.1042,0.7607,0.8198,23.576,23.576,,30057956,王咏辉,0,3149,1097.0
48,华商策略精选混合,630008,混合型-灵活,002,002,1.3067,1.3581,1.4156,13.8696,13.8696,24.0397,30284340,周海栋,3,2770,2770.0
49,浦银安盛量化多策略混合A,005865,混合型-灵活,002,002,1.0127,1.0298,0.9956,3.9551,11.6182,,30065466,陈士俊,0,4012,1186.0
50,兴业聚鑫灵活配置混合A,002498,混合型-灵活,002,002,1.1605,1.9461,2.055,2.5424,3.0806,9.3918,30201644,腊博,1,2863,2049.0
51,中加心享混合A,002027,混合型-灵活,002,002,1.4934,1.9477,2.2728,2.4782,2.4782,2.4782,30202054,闫沛贤,0,2966,2168.0
52,中信保诚至兴混合A,005977,混合型-灵活,002,002,2.2961,1.9803,1.6256,18.3736,20.8936,,30056329,闾志刚,0,4315,1256.0
53,国富研究精选混合,450011,混合型-偏股,002,002,1.1061,1.635,1.6816,18.162,18.162,23.1894,30036328,徐荔蓉,0,5492,3483.0
54,融通领先成长混合(LOF)A,161610,混合型-偏股,002,002,0.2427,1.0936,1.2663,23.4471,23.4471,,30038277,邹曦,0,5110,1750.0
55,建信中证500指数增强C,005633,指数型-股票,001,001,0.9987,1.1372,0.9816,10.6597,18.4196,,30161722,叶乐天,0,3545,1359.0
56,广发百发100指数E,000827,指数型-股票,001,001,0.7125,0.8774,1.0656,20,27.8864,31.2439,30301031,季峰,0,2601,2567.0
57,博时稳健回报债券(LOF)C,160514,债券型-混合债,003,003,2.1732,1.9648,1.7672,2.1922,3.0793,,30064759,邓欣雨,0,2992,1321.0
58,中融睿祥纯债A,003071,债券型-长债,003,003,7.9368,3.3928,4.2671,0.2822,1.5379,,30272905,王玥,0,2713,1264.0
59,汇添富美丽30混合,000173,混合型-偏股,002,002,0.5585,0.98,1.0096,23.2117,23.2117,31.8215,30057297,王栩,3,4319,3084.0
60,泰达宏利效率优选混合,162207,混合型-平衡,002,002,-0.2738,0.8105,1.1403,26.927,26.927,32.5427,30050317,吴华,1,2811,2811.0
61,南方安颐混合,003476,混合型-偏债,002,002,0.8478,1.7921,1.873,2.9229,2.9229,,30291930,吴剑毅,1,2696,1816.0
62,浦银安盛盛世精选混合A,519127,混合型-灵活,002,002,1.2367,1.5385,1.761,5.5434,8.7757,8.7757,30285338,褚艳辉,1,2718,2718.0
63,南方沪深300联接基金A,202015,指数型-股票,001,001,-0.0109,0.8043,0.9085,15.66,15.66,29.7666,30163568,罗文杰,8,3148,3123.0
64,华商新趋势优选灵活配置混合,166301,混合型-灵活,002,002,1.1061,1.5899,1.6007,25.6659,25.6659,26.1905,30284340,周海栋,3,2770,2396.0
65,财通鸿益中短债债券C,006361,债券型-中短债,003,003,8.6711,4.7789,5.8399,0.059,0.3821,,30170849,李杰,0,3253,1187.0
66,广发聚利债券(LOF)A,162712,债券型-混合债,003,003,0.6051,0.518,0.6503,5.1448,5.1448,5.1448,30075339,代宇,1,3774,3774.0
67,华安中国A股增强指数,040002,指数型-股票,001,001,0.3796,0.9614,1.0158,12.7523,15.9864,,30044485,许之彦,6,5511,1440.0
68,易方达安悦超短债A,006662,债券型-中短债,003,003,7.3955,4.9314,--,0.1687,--,,30070771,刘朝阳,2,3363,1095.0
69,中银转债增强债券A,163816,债券型-可转债,003,003,1.0081,1.2227,1.2321,11.1592,11.1592,15.3655,30040278,李建,3,5218,3811.0
70,华宝沪深300指数增强A,003876,指数型-股票,001,001,0.098,1.0081,1.1309,15.2634,15.696,,30052616,徐林明,0,4449,1821.0
71,南方绩优成长混合A,202003,混合型-偏股,002,002,0.3251,0.9038,1.1512,20.1375,20.1375,31.9748,30038974,史博,1,4952,3943.0
72,大摩品质生活精选股票,000309,股票型,001,001,1.3238,1.7439,1.5556,11.5319,15.5047,,30178998,何晓春,1,2823,1393.0
73,广发纳斯达克100指数A,270042,QDII,007,007,1.2072,0.9925,0.9505,10.1754,28.8324,,30283311,刘杰,0,2804,1216.0
74,中欧创新成长灵活配置混合A,005275,混合型-灵活,002,002,0.4931,1.2678,1.3954,22.7115,22.7115,,30073914,王培,4,3297,1349.0
75,融通行业景气混合A,161606,混合型-偏股,002,002,-0.0762,0.9069,1.2274,29.5422,29.5422,29.5422,30038277,邹曦,0,5110,3441.0
76,安信消费医药股票,000974,股票型,001,001,-0.4885,0.4822,0.5974,24.213,24.213,31.7767,30282873,陈一峰,3,2784,2091.0
77,华商乐享互联灵活配置混合A,001959,混合型-灵活,002,002,0.8587,1.4763,1.6365,24.3863,24.3863,,30284340,周海栋,3,2770,1104.0
78,万家信用恒利债券C,519189,债券型-长债,003,003,5.9332,3.2979,3.4753,0.1684,0.927,1.6252,30200192,苏谋东,0,3111,3040.0
79,易方达安瑞短债C,006320,债券型-中短债,003,003,6.1556,3.7444,4.7758,0.1192,0.326,,30131213,王晓晨,6,3764,1116.0
80,国富恒瑞债券C,002362,债券型-混合债,003,003,1.2896,1.3083,1.4203,1.7791,3.2126,3.3454,30051822,赵晓东,7,4475,2130.0
81,万家信用恒利债券A,519188,债券型-长债,003,003,6.8775,3.9218,4.0571,0.1662,0.8668,1.6008,30200192,苏谋东,0,3111,3040.0
82,博时信用债券C,050111,债券型-混合债,003,003,0.6238,0.9505,0.9536,10.2102,12.4459,12.4459,30040233,过钧,4,6316,4560.0
83,博时上证50ETF联接A,001237,指数型-股票,001,001,-0.3562,0.4589,0.6596,20.0577,20.0577,26.1139,30164013,赵云阳,0,3308,2249.0
84,易方达安悦超短债C,006663,债券型-中短债,003,003,6.9366,4.4569,--,0.1592,--,,30070771,刘朝阳,2,3363,1095.0
85,南方稳健成长贰号混合,202002,混合型-偏股,002,002,0.7218,1.2663,1.3721,20.664,20.664,28.7213,30037591,应帅,1,5321,3298.0
86,华夏优势增长混合,000021,混合型-偏股,002,002,1.1107,1.3705,1.327,21.5394,22.381,33.7999,30040527,郑晓辉,0,3644,3130.0
87,兴全合宜混合(LOF)A,163417,混合型-灵活,002,002,0.2193,1.3861,1.4172,17.7491,17.7491,,30198031,谢治宇,9,3231,1411.0
88,南方安福混合A,005059,混合型-偏债,002,002,0.8416,1.8543,1.8854,3.0844,3.347,,30291930,吴剑毅,1,2696,1493.0
89,财通鸿益中短债债券A,006360,债券型-中短债,003,003,9.6496,5.3872,6.3921,0.0491,0.3814,,30170849,李杰,0,3253,1187.0
90,广发稳健增长混合A,270002,混合型-平衡,002,002,-0.3469,0.8603,1.285,14.6818,14.6818,14.6818,30040221,傅友兴,2,3224,2553.0
91,国联安鑫发混合A,004131,混合型-偏债,002,002,1.7688,2.2339,2.0161,2.5714,5.9372,,30177040,薛琳,0,3433,1738.0
92,建信沪深300指数增强(LOF)A,165310,指数型-股票,001,001,0.0964,0.9878,1.0438,13.41,13.5584,29.1705,30053299,梁洪昀,2,4412,2446.0
93,中海分红增利混合,398011,混合型-偏股,002,002,0.686,0.9349,1.1714,23.266,23.5666,33.1542,30283066,邱红丽,1,2816,2573.0
94,华泰柏瑞量化增强混合A,000172,混合型-偏股,002,002,0.2209,0.812,0.8789,12.9978,13.3847,30.2767,30197530,田汉卿,2,3046,3046.0
95,国富策略回报混合,450010,混合型-灵活,002,002,1.1807,1.7096,1.5479,16.7257,16.7257,28.4397,30201043,王晓宁,0,3049,3049.0
96,大成景润灵活配置混合,001364,混合型-灵活,002,002,1.2492,1.4654,1.1543,3.6878,14.186,,30058771,黄万青,0,3477,1774.0
97,金鹰主题优势混合,210005,混合型-偏股,002,002,1.1932,1.2554,1.3705,22.7879,22.7879,31.7131,30201169,陈立,0,3033,3033.0
98,中欧价值发现混合A,166005,混合型-偏股,002,002,0.7623,1.1185,0.9303,9.3469,18.2418,25.6544,30040164,曹名长,9,5460,2206.0
99,交银新成长混合,519736,混合型-偏股,002,002,0.5554,1.3767,1.523,20.6572,20.6572,24.6537,30301239,王崇,4,2600,2600.0
100,易方达稳健收益债券A,110007,债券型-混合债,003,003,1.7843,1.5276,1.6334,1.4307,4.1493,4.1493,30159168,胡剑,5,3566,3566.0
101,诺安中证100指数A,320010,指数型-股票,001,001,0.028,0.9629,1.1045,17.4328,17.4328,27.0959,30041150,梅律吾,0,5046,3416.0
102,华商稳定增利债券A,630009,债券型-混合债,003,003,0.756,1.2523,1.2756,12.0723,12.0723,12.0723,30061219,张永志,2,4135,3917.0
103,华安红利精选混合,005521,混合型-偏股,002,002,0.5087,1.0578,1.0983,18.6766,18.6766,,30060263,杨明,2,4929,1415.0
104,景顺长城量化新动力股票,001974,股票型,001,001,0.532,1.1885,1.1776,14.0893,15.7025,27.1565,30201219,黎海威,2,2958,1970.0
105,富国中证500指数增强(LOF)A,161017,指数型-股票,001,001,1.0127,1.1652,1.0267,10.8234,18.2,33.1058,30055839,李笑薇,4,4364,3706.0
106,工银精选金融地产混合A,005937,混合型-偏股,002,002,-0.0622,0.5958,--,17.2893,18.4826,,30200831,王君正,2,3022,1116.0
107,景顺长城量化平衡混合,005258,混合型-灵活,002,002,0.6051,1.3721,1.1636,12.1293,12.1293,,30201219,黎海威,2,2958,1438.0
