,Unnamed: 0,NAME,CODE,FTYPE,BFUNDTYPE,FUNDTYPE,SHARP1,SHARP2,SHARP3,MAXRETRA1,MAXRETRA3,MAXRETRA5,MGRID,MGRNAME,HJ_JN,TOTALDAYS,DAYS,RANK1N,RANK6Y,RANK3Y,RANK
0,0,海富通收益增长混合,519003,混合型-灵活,2,2,1.3518,2.1126,1.9554,11.9707,13.7077,26.226,30176255,周雪军,0,3333,2370.0,0.32051651792197655,0.315114602244351,0.3586013777547736,0.9942324979211012
2,2,易方达丰和债券,002969,债券型-混合债,3,3,1.229,1.369,1.3954,4.9667,4.9667,4.9667,30075384,张清华,6,2903,1837.0,0.255231440111395,0.29379254067416616,0.356504610154283,0.9055285909398441
3,3,广发纳斯达克100指数C,006479,QDII,7,7,1.1963,0.9863,0.9412,10.1922,28.8411,,30283311,刘杰,0,2804,1136.0,0.20753305830161747,0.23593750764252178,0.2938659335527741,0.7373364994969134
10,10,国投中证500指数量化增强A,005994,指数型-股票,1,1,1.4141,1.6225,1.4794,11.9767,17.0198,,30202050,殷瑞飞,0,2991,1221.0,0.19709671615694213,0.26418254361088966,0.33281721293713984,0.7940964727049716
14,14,兴业收益增强债券A,001257,债券型-混合债,3,3,1.9928,1.9119,1.8885,3.4286,3.4286,5.1871,30050883,周鸣,1,4318,2381.0,0.2987195316512324,0.33669872334747175,0.3721121962900302,1.0075304512887344
24,24,中银研究精选灵活配置混合A,000939,混合型-灵活,2,2,0.5678,1.4981,1.6396,23.8445,23.8445,,30061323,吴印,1,3824,1499.0,0.372740001447878,0.3643267963515486,0.39072809141869486,1.1277948892181213
42,42,交银丰晟收益债券A,005577,债券型-长债,3,3,9.3851,--,--,0.2525,0.8283,,30041094,于海颖,0,4025,1291.0,0.32292479437833005,0.30189932803350356,0.3241886758539875,0.9490127982658211
57,57,博时稳健回报债券(LOF)C,160514,债券型-混合债,3,3,2.1732,1.9648,1.7672,2.1922,3.0793,,30064759,邓欣雨,0,2992,1321.0,0.3558517181671864,0.3188491399945716,0.3787435734256144,1.0534444315873723
58,58,中融睿祥纯债A,003071,债券型-长债,3,3,7.9368,3.3928,4.2671,0.2822,1.5379,,30272905,王玥,0,2713,1264.0,0.2537369324015937,0.3046341555867928,0.33094728730308814,0.8893183752914746
64,64,华商新趋势优选灵活配置混合,166301,混合型-灵活,2,2,1.1061,1.5899,1.6007,25.6659,25.6659,26.1905,30284340,周海栋,3,2770,2396.0,0.22613917498618152,0.2908092641914458,0.35750158545099564,0.874450024628623
65,65,财通鸿益中短债债券C,006361,债券型-中短债,3,3,8.6711,4.7789,5.8399,0.059,0.3821,,30170849,李杰,0,3253,1187.0,0.33408425732340297,0.37381151664808426,0.39552227006326746,1.1034180440347547
70,70,华宝沪深300指数增强A,003876,指数型-股票,1,1,0.098,1.0081,1.1309,15.2634,15.696,,30052616,徐林明,0,4449,1821.0,0.25668839066986016,0.3198336127882856,0.37626859452733785,0.9527905979854836
73,73,广发纳斯达克100指数A,270042,QDII,7,7,1.2072,0.9925,0.9505,10.1754,28.8324,,30283311,刘杰,0,2804,1216.0,0.18285949497301057,0.2651904324591422,0.31595657389965376,0.7640065013318065
77,77,华商乐享互联灵活配置混合A,001959,混合型-灵活,2,2,0.8587,1.4763,1.6365,24.3863,24.3863,,30284340,周海栋,3,2770,1104.0,0.2325304342274888,0.19824570216940224,0.3041396525470259,0.734915788943917
80,80,国富恒瑞债券C,002362,债券型-混合债,3,3,1.2896,1.3083,1.4203,1.7791,3.2126,3.3454,30051822,赵晓东,7,4475,2130.0,0.33539900040063425,0.3718378492431226,0.3961899807103915,1.1034268303541483
89,89,财通鸿益中短债债券A,006360,债券型-中短债,3,3,9.6496,5.3872,6.3921,0.0491,0.3814,,30170849,李杰,0,3253,1187.0,0.25944023129600796,0.3066456632073627,0.34132642342194497,0.9074123179253156
91,91,国联安鑫发混合A,004131,混合型-偏债,2,2,1.7688,2.2339,2.0161,2.5714,5.9372,,30177040,薛琳,0,3433,1738.0,0.2969241865335012,0.3809923740472912,0.38793593610395555,1.065852496684748
92,92,建信沪深300指数增强(LOF)A,165310,指数型-股票,1,1,0.0964,0.9878,1.0438,13.41,13.5584,29.1705,30053299,梁洪昀,2,4412,2446.0,0.3738112073634792,0.380083963786215,0.3988019749753023,1.1526971461249964
99,99,交银新成长混合,519736,混合型-偏股,2,2,0.5554,1.3767,1.523,20.6572,20.6572,24.6537,30301239,王崇,4,2600,2600.0,0.24598385369877784,0.3104290684675824,0.3657754197196704,0.9221883418860307
