代码,基金,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日,,,,,,手续费,,
980003,太平洋六个月滚动持有债,TPYLGYGDCYZ,2021-11-01,1.4996,1.4996,0.03,0.10,0.41,1.24,2.85,4.92,,,4.92,7.33,2020-04-26,1,5.3236,0.50%,0.05%,1,0.05%,1,
970071,第一创业创享纯债,DYCYCXCZ,2021-11-01,1.0432,1.5527,0.04,0.13,0.26,,,,,,,0.13,2021-09-02,1,-0.07679,0.40%,0.04%,1,0.04%,1,
970070,国元元赢四个月定开债,GYYYSGYDKZ,2021-11-01,1.0245,1.0545,0.05,,,,,,,,,0.10,2021-10-28,1,,0.60%,0.06%,1,0.06%,1,
970069,兴证资管金麒麟消费升级混合C,XZZGJQLXFSJHHC,2021-11-01,1.0026,1.0026,-0.72,-0.50,0.07,,,,,,,0.26,2021-08-02,1,0.78,,0.00%,,,,
970067,兴证资管金麒麟消费升级混合A,XZZGJQLXFSJHHA,2021-11-01,1.0034,1.0034,-0.72,-0.49,0.12,,,,,,,0.34,2021-08-02,1,0.84,1.20%,0.12%,1,0.12%,1,
970066,长城证券三个月滚动持有C,CCZQSGYGDCYC,2021-11-01,1.0357,1.0357,0.06,0.15,0.29,,,,,,,0.32,2021-09-14,1,0.077489,,0.00%,,,,
970064,长城证券三个月滚动持有A,CCZQSGYGDCYA,2021-11-01,1.0361,1.0361,0.07,0.15,0.32,,,,,,,0.36,2021-09-14,1,0.106548,0.30%,0.30%,99,0.30%,99,
970057,国联金如意3个月滚动持有债C,GLJRY3GYGDCYZC,2021-11-01,1.0150,1.0150,0.05,0.14,0.41,1.31,,,,,,1.50,2021-07-19,1,1.24,,0.00%,,,,
970056,国联金如意3个月滚动持有债A,GLJRY3GYGDCYZA,2021-11-01,1.0159,1.0159,0.06,0.15,0.43,1.40,,,,,,1.59,2021-07-19,1,1.32,0.40%,0.04%,1,0.04%,1,
970048,东海海睿致远灵活配置混合,DHHRZYLHPZHH,2021-11-01,1.4238,1.9386,-1.35,0.41,6.42,-0.59,,,,,,6.28,2021-07-19,1,1.634694,1.50%,0.15%,1,0.15%,1,
970045,东吴裕盈一年持有混合C,DWYYYNCYHHC,2021-11-01,1.0096,1.0096,-0.66,0.25,3.13,,,,,,,0.96,2021-08-27,1,-0.53,,0.00%,,,,
970043,东吴裕盈一年持有混合A,DWYYYNCYHHA,2021-11-01,1.0102,1.0102,-0.67,0.26,3.17,,,,,,,1.02,2021-08-27,1,-0.49,1.00%,1.00%,99,1.00%,99,
970042,国海量化优选一年持有股票C,GHLHYXYNCYGPC,2021-11-01,1.6722,1.8065,0.51,-3.02,-3.49,,,,,,,-3.35,2021-08-23,1,-0.254321,1.00%,0.10%,1,0.10%,1,
970038,东莞德益6个月持有债,DGDY6GYCYZ,2021-11-01,1.0243,1.64,0.09,0.24,0.40,1.42,,,,,,2.40,2021-07-06,3,2.029391,0.60%,0.60%,99,0.60%,99,
970035,华安证券合赢九个月持有,HAZQHYJGYCY,2021-11-01,1.0180,1.0180,0.04,-0.06,0.07,1.37,,,,,,1.81,2021-07-02,1,1.760176,,0.00%,,,,
