,NAME,CODE,FTYPE,BFUNDTYPE,FUNDTYPE,SHARP1,SHARP2,SHARP3,MAXRETRA1,MAXRETRA3,MAXRETRA5,MGRID,MGRNAME,HJ_JN,TOTALDAYS,DAYS
0,海富通收益增长混合,519003,混合型-灵活,002,002,1.5836,2.1188,1.9383,11.9707,13.7077,26.226,30176255,周雪军,0,3301,2338.0
1,南方利安C,001580,混合型-灵活,002,002,1.5416,2.0192,2.0317,3.0545,3.0545,3.0545,30291930,吴剑毅,1,2664,2175.0
2,易方达丰和债券,002969,债券型-混合债,003,003,1.2196,1.3643,1.4312,4.9667,4.9667,,30075384,张清华,6,2871,1805.0
3,广发纳斯达克100指数C,006479,QDII,007,007,1.6007,1.0361,0.9567,10.1922,28.8411,,30283311,刘杰,0,2772,1104.0
4,国泰大农业股票,001579,股票型,001,001,0.1493,1.0034,1.5432,22.5097,22.5097,,30042300,程洲,2,4961,1601.0
5,汇添富沪深300安中指数,000368,指数型-股票,001,001,0.9614,1.313,1.1838,11.9589,14.3411,31.4738,30057296,吴振翔,0,4287,2918.0
6,华夏鼎沛债券A,005886,债券型-混合债,003,003,0.5009,1.0329,1.2041,7.2589,13.2566,,30276903,柳万军,1,2863,1225.0
7,工银丰收回报灵活配置混合A,001650,混合型-灵活,002,002,1.1232,1.5167,1.4405,12.8746,12.8746,12.8746,30067891,何秀红,1,3918,2198.0
8,华夏全球股票(QDII),000041,QDII,007,007,-0.0809,0.2442,--,31.3415,31.3415,31.3415,30201218,李湘杰,0,2729,1987.0
9,汇添富核心精选混合(LOF),501188,混合型-灵活,002,002,-0.4542,-0.028,--,19.4084,19.4084,,30039171,何旻,0,4879,1216.0
10,国投中证500指数量化增强A,005994,指数型-股票,001,001,1.5805,1.5821,1.4623,11.5339,17.0198,,30202050,殷瑞飞,0,2959,1189.0
11,建信鑫泽回报灵活配置混合C,004669,混合型-灵活,002,002,0.7576,1.5541,1.2943,6.2934,8.0564,,30053299,梁洪昀,2,4380,1364.0
12,兴业聚盈混合A,002494,混合型-偏债,002,002,1.2601,2.0379,2.1017,2.5334,2.657,3.6364,30201644,腊博,1,2831,2034.0
13,华夏纯债债券C,000016,债券型-长债,003,003,2.4641,1.6132,2.2339,0.3407,1.7901,,30276903,柳万军,1,2863,1516.0
14,兴业收益增强债券A,001257,债券型-混合债,003,003,1.4078,1.5354,1.6505,3.4286,3.4286,5.1871,30050883,周鸣,1,4286,2349.0
15,前海开源医疗健康A,005453,混合型-灵活,002,002,0.2769,1.2041,1.3285,29.4133,29.4133,,30198132,曲扬,1,2909,1383.0
16,工银四季收益债券(LOF),164808,债券型-混合债,003,003,2.9293,2.3039,2.6275,0.9725,2.1181,3.937,30067891,何秀红,1,3918,3918.0
17,工银核心价值混合A,481001,混合型-偏股,002,002,1.0532,1.4187,1.3596,25,25,33.8875,30038667,何肖颉,0,4043,2798.0
18,华安香港精选股票(QDII),040018,QDII,007,007,0.6689,1.0034,0.9116,17.0147,25.3316,25.3316,30060264,苏圻涵,0,5479,4062.0
19,博时行业轮动混合,050018,混合型-偏股,002,002,1.2103,1.0516,1.0889,23.6912,23.6912,34.8974,30296880,陈雷,0,2622,2622.0
20,银华恒生中国企业指数,161831,QDII,007,007,-0.4107,--,--,28.9682,28.9682,31.6021,30072182,乐育涛,0,3828,2764.0
21,鹏华产业精选,005812,混合型-灵活,002,002,0.1587,--,--,25.7374,25.7374,,30066292,王宗合,2,3962,1273.0
22,华安沪深300增强C,000313,指数型-股票,001,001,0.6829,1.0563,1.1278,17.7182,17.7182,,30044485,许之彦,6,5479,1408.0
23,中银研究精选灵活配置混合A,000939,混合型-灵活,002,002,0.8463,1.495,1.7065,23.8445,23.8445,,30061323,吴印,1,3792,1467.0
24,中银新回报灵活配置混合A,000190,混合型-灵活,002,002,0.056,1.3923,1.4872,5.2898,5.2898,5.2898,30040278,李建,3,5186,2975.0
25,银河鑫利混合A,519652,混合型-灵活,002,002,1.2025,1.929,1.7625,5.4307,7.2309,,30164243,卢轶乔,0,3238,1648.0
26,建信鑫利回报灵活配置混合C,004653,混合型-灵活,002,002,1.0609,1.5261,1.5276,7.1002,11.3175,,30161722,叶乐天,0,3513,1392.0
27,国泰民益混合(LOF)A,160220,混合型-灵活,002,002,2.5761,2.1203,1.5759,2.1342,12.1048,19.6078,30301236,樊利安,1,2569,2569.0
28,鹏华金鼎灵活配置混合A,002504,混合型-灵活,002,002,2.0114,1.2927,1.1776,8.2275,16.0494,16.0494,30053793,戴钢,0,3617,2029.0
29,银河智联混合,519644,混合型-灵活,002,002,1.2274,1.7003,1.8045,17.0446,18.3832,25.9048,30164252,神玉飞,0,3238,2147.0
30,大成债券C,092002,债券型-混合债,003,003,1.257,1.0329,1.0081,3.1439,3.1439,3.9709,30040406,王立,1,5408,4546.0
31,中欧养老产业混合A,001955,混合型-偏股,002,002,1.5323,1.5121,1.6988,9.1657,18.8832,25.661,30052841,王健,2,3865,1825.0
32,华安黄金易ETF联接C,000217,商品（不含QDII）,002,002,-0.7685,0.1805,0.6223,12.9173,20.7511,20.7511,30044485,许之彦,6,5479,2994.0
33,中欧潜力价值灵活配置混合A,001810,混合型-灵活,002,002,0.9769,1.0905,0.9614,9.0909,18.6282,24.9878,30040164,曹名长,9,5428,2174.0
34,工银瑞信双利债券A,485111,债券型-混合债,003,003,1.4047,1.3114,1.7221,1.4484,3.2635,5.0539,30043274,欧阳凯,9,4627,4096.0
35,景顺长城量化精选股票,000978,股票型,001,001,1.3627,1.1605,0.9769,11.3068,19.6176,34.2724,30201219,黎海威,2,2926,2463.0
36,工银量化策略混合A,481017,混合型-偏股,002,002,1.2896,1.7439,1.7361,18.3262,18.3262,31.8497,30055955,游凛峰,0,4329,3477.0
37,银河君尚混合A,519613,混合型-灵活,002,002,1.971,2.1779,1.7999,2.5793,4.9162,,30054615,罗博,0,4327,1767.0
38,广发创业板ETF联接A,003765,指数型-股票,001,001,0.8758,1.2258,1.1714,21.8516,21.8516,,30283311,刘杰,0,2772,1622.0
39,交银丰晟收益债券A,005577,债券型-长债,003,003,5.0356,--,--,0.8283,0.8283,,30041094,于海颖,0,3993,1259.0
40,富国军工主题混合A,005609,混合型-偏股,002,002,1.0174,1.3954,1.2461,26.5204,26.5204,,30075266,章旭峰,0,3607,1314.0
41,工银绝对收益混合发起A,000667,混合型-灵活,002,002,0.4667,2.0581,1.7812,3.1134,3.1134,7.4336,30055955,游凛峰,0,4329,2686.0
42,鹏华价值优势混合(LOF),160607,混合型-偏股,002,002,0.3982,1.2756,1.341,14.5738,16.1045,34.7877,30283642,谢书英,0,2754,2337.0
43,华商策略精选混合,630008,混合型-灵活,002,002,1.7376,1.3534,1.4032,13.4073,13.7743,24.0397,30284340,周海栋,3,2738,2738.0
44,浦银安盛量化多策略混合A,005865,混合型-灵活,002,002,1.3503,0.9349,0.9614,3.9551,11.6182,,30065466,陈士俊,0,3980,1154.0
45,兴业聚鑫灵活配置混合A,002498,混合型-灵活,002,002,1.2321,1.8652,1.9041,2.5424,3.0806,9.3918,30201644,腊博,1,2831,2017.0
46,中加心享混合A,002027,混合型-灵活,002,002,1.3363,1.9492,2.3428,2.4782,2.4782,2.5209,30202054,闫沛贤,0,2934,2136.0
47,中信保诚至兴混合A,005977,混合型-灵活,002,002,2.6228,1.9819,1.635,18.3736,20.8936,,30056329,闾志刚,0,4283,1224.0
48,国富研究精选混合,450011,混合型-偏股,002,002,1.0236,1.551,1.6412,18.162,18.162,23.1894,30036328,徐荔蓉,0,5460,3451.0
49,融通领先成长混合(LOF)A,161610,混合型-偏股,002,002,0.3594,1.0734,1.2414,23.4471,23.4471,,30038277,邹曦,0,5078,1718.0
50,建信中证500指数增强C,005633,指数型-股票,001,001,1.0298,1.0703,0.9738,10.6597,18.4196,,30161722,叶乐天,0,3513,1327.0
51,广发百发100指数E,000827,指数型-股票,001,001,0.6347,0.8307,1.0283,20,27.8864,31.2439,30301031,季峰,0,2569,2535.0
52,博时稳健回报债券(LOF)C,160514,债券型-混合债,003,003,1.8216,1.9352,1.7905,2.1922,3.0793,,30064759,邓欣雨,0,2960,1289.0
53,中融睿祥纯债A,003071,债券型-长债,003,003,4.9734,3.4022,4.3247,0.5058,1.5379,,30272905,王玥,0,2681,1232.0
54,汇添富美丽30混合,000173,混合型-偏股,002,002,0.2878,0.8758,0.9972,23.2117,23.2117,31.8215,30057297,王栩,3,4287,3052.0
55,泰达宏利效率优选混合,162207,混合型-平衡,002,002,-0.2333,0.7078,1.1278,26.927,26.927,32.5427,30050317,吴华,1,2779,2779.0
56,南方安颐混合,003476,混合型-偏债,002,002,1.3456,1.9305,1.9228,2.9229,2.9229,,30291930,吴剑毅,1,2664,1784.0
57,浦银安盛盛世精选混合A,519127,混合型-灵活,002,002,1.2896,1.4716,1.7081,5.5434,8.7757,8.7757,30285338,褚艳辉,1,2686,2686.0
58,南方沪深300联接基金A,202015,指数型-股票,001,001,0.4154,0.7778,0.9132,15.66,15.66,29.7666,30163568,罗文杰,8,3116,3091.0
59,华商新趋势优选灵活配置混合,166301,混合型-灵活,002,002,1.7859,1.6988,1.6692,20.793,20.793,26.1905,30284340,周海栋,3,2738,2364.0
60,财通鸿益中短债债券C,006361,债券型-中短债,003,003,7.0719,5.0107,6.1074,0.1178,0.3821,,30170849,李杰,0,3221,1155.0
61,广发聚利债券(LOF)A,162712,债券型-混合债,003,003,0.7031,0.7451,0.8634,5.1448,5.1448,5.1448,30075339,代宇,1,3742,3742.0
62,华安中国A股增强指数,040002,指数型-股票,001,001,0.6751,0.9023,1.0174,12.7523,15.9864,,30044485,许之彦,6,5479,1408.0
63,中银转债增强债券A,163816,债券型-可转债,003,003,0.6316,1.0905,1.1403,11.1592,11.1592,15.3655,30040278,李建,3,5186,3779.0
64,华宝沪深300指数增强A,003876,指数型-股票,001,001,0.4885,1.0329,1.1543,15.2634,15.696,,30052616,徐林明,0,4417,1789.0
65,南方绩优成长混合A,202003,混合型-偏股,002,002,0.5211,0.8992,1.1838,20.1375,20.1375,31.9748,30038974,史博,1,4920,3911.0
66,大摩品质生活精选股票,000309,股票型,001,001,1.4327,1.6599,1.5385,11.5319,15.5047,,30178998,何晓春,1,2791,1361.0
67,广发纳斯达克100指数A,270042,QDII,007,007,1.6101,1.0423,0.966,10.1754,28.8324,,30283311,刘杰,0,2772,1184.0
68,中欧创新成长灵活配置混合A,005275,混合型-灵活,002,002,0.4714,1.327,1.4187,22.7115,22.7115,,30073914,王培,4,3265,1317.0
69,融通行业景气混合A,161606,混合型-偏股,002,002,0.0202,0.9692,1.1978,28.6039,28.6039,28.6039,30038277,邹曦,0,5078,3409.0
70,安信消费医药股票,000974,股票型,001,001,-0.2022,0.5056,0.6254,24.213,24.213,31.7767,30282873,陈一峰,3,2752,2059.0
71,万家信用恒利债券C,519189,债券型-长债,003,003,4.2764,3.4146,3.69,0.3309,0.927,2.4882,30200192,苏谋东,0,3079,3008.0
72,国富恒瑞债券C,002362,债券型-混合债,003,003,1.3845,1.2538,1.383,1.7791,3.2126,3.3454,30051822,赵晓东,7,4443,2098.0
73,万家信用恒利债券A,519188,债券型-长债,003,003,5.1818,4.0384,4.2687,0.3268,0.8668,2.4318,30200192,苏谋东,0,3079,3008.0
74,博时信用债券C,050111,债券型-混合债,003,003,0.8323,0.8774,0.9194,10.2102,12.4459,12.4459,30040233,过钧,4,6284,4528.0
75,博时上证50ETF联接A,001237,指数型-股票,001,001,0.1882,0.4776,0.6798,20.0577,20.0577,26.1139,30164013,赵云阳,0,3276,2217.0
76,南方稳健成长贰号混合,202002,混合型-偏股,002,002,0.6938,1.2943,1.4016,20.664,20.664,28.7213,30037591,应帅,1,5289,3266.0
77,华夏优势增长混合,000021,混合型-偏股,002,002,1.1278,1.3612,1.313,21.5394,22.381,33.7999,30040527,郑晓辉,0,3612,3098.0
78,兴全合宜混合(LOF)A,163417,混合型-灵活,002,002,0.2909,1.3783,1.4483,17.7491,17.7491,,30198031,谢治宇,9,3199,1379.0
79,南方安福混合A,005059,混合型-偏债,002,002,1.3534,1.9803,1.9243,3.0844,3.347,,30291930,吴剑毅,1,2664,1461.0
