,Unnamed: 0,NAME,CODE,FTYPE,BFUNDTYPE,FUNDTYPE,SHARP1,SHARP2,SHARP3,MAXRETRA1,MAXRETRA3,MAXRETRA5,MGRID,MGRNAME,HJ_JN,TOTALDAYS,DAYS,RANK1N,RANK6Y,RANK3Y,RANK
0,0,海富通收益增长混合,519003,混合型-灵活,2,2,1.5836,2.1188,1.9383,11.9707,13.7077,26.226,30176255,周雪军,0,3301,2338.0,0.3227020165916537,0.31703104550807215,0.35867844943917243,0.9984115115388983
2,2,易方达丰和债券,002969,债券型-混合债,3,3,1.2196,1.3643,1.4312,4.9667,4.9667,,30075384,张清华,6,2871,1805.0,0.25521180617467065,0.2869958177755835,0.347462882360012,0.8896705063102661
3,3,广发纳斯达克100指数C,006479,QDII,7,7,1.6007,1.0361,0.9567,10.1922,28.8411,,30283311,刘杰,0,2772,1104.0,0.2099276017444793,0.24252913335257234,0.2989653296393005,0.7514220647363521
10,10,国投中证500指数量化增强A,005994,指数型-股票,1,1,1.5805,1.5821,1.4623,11.5339,17.0198,,30202050,殷瑞飞,0,2959,1189.0,0.19983422869524106,0.26742233391344294,0.3231632577914163,0.7904198204001003
14,14,兴业收益增强债券A,001257,债券型-混合债,3,3,1.4078,1.5354,1.6505,3.4286,3.4286,5.1871,30050883,周鸣,1,4286,2349.0,0.30212896529599653,0.3400875892067899,0.3775301580507897,1.0197467125535762
15,15,前海开源医疗健康A,005453,混合型-灵活,2,2,0.2769,1.2041,1.3285,29.4133,29.4133,,30198132,曲扬,1,2909,1383.0,0.1651216529707083,0.274359913227625,0.35577771424543125,0.7952592804437646
21,21,鹏华产业精选,005812,混合型-灵活,2,2,0.1587,--,--,25.7374,25.7374,,30066292,王宗合,2,3962,1273.0,0.15854894286257104,0.3054311232347873,0.3960469647791703,0.8600270308765287
23,23,中银研究精选灵活配置混合A,000939,混合型-灵活,2,2,0.8463,1.495,1.7065,23.8445,23.8445,,30061323,吴印,1,3792,1467.0,0.3727262676150503,0.3531974294502755,0.38224572592505845,1.1081694229903842
39,39,交银丰晟收益债券A,005577,债券型-长债,3,3,5.0356,--,--,0.8283,0.8283,,30041094,于海颖,0,3993,1259.0,0.3305253384356451,0.3027256498436858,0.3277777388976829,0.9610287271770138
52,52,博时稳健回报债券(LOF)C,160514,债券型-混合债,3,3,1.8216,1.9352,1.7905,2.1922,3.0793,,30064759,邓欣雨,0,2960,1289.0,0.3593312797820394,0.31934264112508365,0.3751096957276323,1.0537836166347554
53,53,中融睿祥纯债A,003071,债券型-长债,3,3,4.9734,3.4022,4.3247,0.5058,1.5379,,30272905,王玥,0,2681,1232.0,0.2511224749906477,0.3066684691312983,0.3321318582667078,0.8899228023886538
59,59,华商新趋势优选灵活配置混合,166301,混合型-灵活,2,2,1.7859,1.6988,1.6692,20.793,20.793,26.1905,30284340,周海栋,3,2738,2364.0,0.22763429549201086,0.29099508379379485,0.34882014254334465,0.8674495218291502
